Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
11,PMR1,446.006250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
12,PMR2,446.018750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
13,PMR3,446.031250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
14,PMR4,446.043750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
15,PMR5,446.056250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
16,PMR6,446.068750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
17,PMR7,446.081250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
18,PMR8,446.093750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
19,PMR9,446.106250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
20,PMR10,446.118750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
21,PMR11,446.131250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
22,PMR12,446.143750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
23,PMR13,446.156250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
24,PMR14,446.168750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
25,PMR15,446.181250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
26,PMR16,446.193750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
31,PMR1-01,446.006250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
32,PMR2-01,446.018750,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
33,PMR3-01,446.031250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
34,PMR4-01,446.043750,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
35,PMR5-01,446.056250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
36,PMR6-01,446.068750,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
37,PMR7-01,446.081250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
38,PMR8-01,446.093750,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
39,PMR9-01,446.106250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
40,PMR10-01,446.118750,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
41,PMR11-01,446.131250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
42,PMR12-01,446.143750,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
43,PMR13-01,446.156250,,0.600000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
